#,dvh.csv
,BODY (1)(volume: 14367.16),2Cm (2)(volume: 362.15),Bronchial Tree (3)(volume: 19.19),Chest Wall (4)(volume: 417.01),Contrast (5)(volume: 450.02),Cord (6)(volume: 7.63),Esophagus (7)(volume: 38.25),Great Vessels (8)(volume: 93.13),Lung_Lt (9)(volume: 943.06),Lung_Rt (10)(volume: 1279.22),Lung_Total (11)(volume: 2222.28),Rib (12)(volume: 37.95),Ring_101 (13)(volume: 27.46),Skin (14)(volume: 247.08),IGTV1 (15)(volume: 14.43),PTV1 (16)(volume: 39.99),IGTV2 (17)(volume: 0.99),PTV2 (18)(volume: 6.52),PTV2 sep (19)(volume: 5.83),PTV sum (20)(volume: 46.24),Ring_102 (21)(volume: 46.63),Ring_103 (22)(volume: 182.87),Ring_104 (23)(volume: 5.44),Ring_105 (24)(volume: 8.19),Ring_106 (25)(volume: 25.34),CouchSurface (26)(volume: 1235.44),CouchInterior (27)(volume: 7933.69),PRV1 (28)(volume: 2053.95),PRV2 (29)(volume: 1896.05),PRV3 (30)(volume: 1716.00)
1.33927,26.2756,89.7598,100,90.9626,52.2953,59.5,27.7365,91.7076,38.1353,52.9049,46.638,93.8942,100,74.0574,100,100,100,100,100,100,100,99.5491,100,100,100,0,NaN,96.7283,96.4558,96.1358,
1.39507,25.9827,89.153,100,90.3593,51.7248,59.5,27.547,90.6345,37.7509,52.1891,46.0629,93.3816,100,72.8632,100,100,100,100,100,100,100,99.5396,100,100,100,0,NaN,96.3717,96.0695,95.7235,
1.45087,25.701,88.5237,100,89.7125,51.2171,59.5,27.3625,89.7805,37.4349,51.5105,45.5381,92.7082,100,71.6196,100,100,100,100,100,100,100,99.5302,100,100,100,0,NaN,96.0116,95.6795,95.306,
1.50667,25.4416,88.106,100,89.1166,50.7445,59.5,27.163,89.0125,37.1802,50.8998,45.0785,91.9041,100,70.3327,100,100,100,100,100,100,100,99.526,100,100,100,0,NaN,95.6886,95.3295,94.9339,
1.56248,25.1919,87.7463,100,88.5924,50.2829,59.5,26.9237,88.2096,36.9091,50.3008,44.6187,91.2257,100,69.015,100,100,100,100,100,100,100,99.5187,100,100,100,0,NaN,95.3605,94.9741,94.5553,
1.61828,24.9404,87.4387,100,88.125,49.8735,59.5,26.6544,87.4048,36.6322,49.7245,44.1694,90.497,100,67.556,100,100,100,100,100,100,100,99.5103,100,100,100,0,NaN,95.0071,94.5913,94.1452,
1.67408,24.6987,87.1459,100,87.6721,49.5323,59.5,26.3302,86.6716,36.3326,49.1918,43.7356,89.8035,100,66.1896,100,100,100,100,100,100,100,99.4987,100,100,100,0,NaN,94.6731,94.2296,93.7584,
1.72988,24.4478,86.862,100,87.2299,49.2233,59.1,25.9861,86.0265,35.9543,48.6763,43.2783,89.2055,100,64.6511,100,100,100,100,100,100,100,99.4882,100,100,100,0,NaN,94.3081,93.8349,93.3337,
1.78569,24.2023,86.5797,100,86.7693,48.9652,58.15,25.5972,85.4674,35.6349,48.1924,42.8642,88.7331,100,63.1102,100,100,100,100,100,100,100,99.4788,100,100,100,0,NaN,93.935,93.4317,92.8999,
1.84149,23.9557,86.3422,100,86.3206,48.7533,57.2,25.5323,84.9615,35.3669,47.7166,42.4765,88.3311,100,61.4629,100,100,100,100,100,100,100,99.4736,100,100,100,0,NaN,93.554,93.0206,92.4575,
1.89729,23.7039,86.0941,100,85.8961,48.5808,56.1,25.3179,84.5232,35.0788,47.2643,42.0939,87.9642,100,59.8912,100,100,100,100,100,100,100,99.4673,100,100,100,0,NaN,93.1595,92.5946,92.0024,
1.9531,23.4446,85.8097,100,85.4863,48.4142,55.225,25.0486,84.1218,34.748,46.8376,41.7079,87.6024,100,58.4182,100,100,100,100,100,100,100,99.4557,100,100,100,0,NaN,92.7353,92.1363,91.5112,
2.0089,23.18,85.4389,100,85.093,48.2383,55.1,24.7345,83.7614,34.4418,46.4095,41.3315,87.1853,100,57.0349,100,100,100,100,100,100,100,99.4484,100,100,100,0,NaN,92.2781,91.6424,90.9816,
2.0647,22.9121,85.0023,100,84.712,48.0455,55.1,24.5699,83.3026,34.1084,46.0113,40.9608,86.8888,100,55.6662,100,100,100,100,100,100,100,99.439,100,100,100,0,NaN,91.786,91.1109,90.411,
2.1205,22.6416,84.6879,100,84.3392,47.8412,55.1,24.5549,82.809,33.7851,45.6177,40.597,86.6425,100,54.3106,100,100,100,100,100,100,100,99.4285,100,100,100,0,NaN,91.3105,90.597,89.8648,
2.17631,22.3644,84.3992,100,83.9715,47.6475,55.1,24.5549,82.381,33.4671,45.2334,40.2409,86.3913,100,53.0215,100,100,100,100,100,100,100,99.4232,100,100,100,0,NaN,90.8291,90.0771,89.3137,
2.23211,22.0796,84.1312,100,83.6092,47.458,55.1,24.5549,82.0329,33.1123,44.865,39.8782,86.0445,100,51.9631,100,100,100,100,100,100,100,99.4159,100,100,100,0,NaN,90.3312,89.5391,88.7404,
2.28791,21.7946,83.8857,100,83.2191,47.2546,55.1,24.5499,81.7154,32.7221,44.5134,39.5103,85.6626,100,50.9835,100,100,100,100,100,100,100,99.4064,100,100,100,0,NaN,89.8207,88.9878,88.1527,
2.34371,21.5072,83.6809,100,82.8353,47.0583,55.1,24.52,81.4696,32.3082,44.1725,39.1384,85.1299,100,50.054,100,100,100,100,100,100,100,99.3907,100,100,100,0,NaN,89.2939,88.4188,87.5439,
2.39952,21.2135,83.4733,100,82.4795,46.8727,55.1,24.4851,81.2382,31.8041,43.8494,38.7385,84.5369,100,49.2033,100,100,100,100,100,100,100,99.3792,100,100,100,0,NaN,88.7562,87.8382,86.9203,
2.45532,20.9055,83.2495,100,82.1296,46.6765,55.1,24.4452,81.0498,31.1559,43.5402,38.2855,83.9138,100,48.3519,100,100,100,100,100,100,100,99.3666,100,100,100,0,NaN,88.1969,87.2341,86.2692,
2.51112,20.5898,83.032,100,81.776,46.4879,55.1,24.3954,80.8696,30.4115,43.2275,37.7896,83.3358,100,47.4788,100,100,100,100,100,100,100,99.3635,100,100,100,0,NaN,87.6236,86.6148,85.6027,
2.56693,20.2903,82.834,100,81.4266,46.3073,55.1,24.3355,80.6709,29.6427,42.9278,37.2909,82.8132,100,46.5972,100,100,100,100,100,100,100,99.3488,100,100,100,0,NaN,87.0438,85.9887,84.9275,
2.62273,19.9957,82.6138,100,81.0931,46.1403,55.1,24.2607,80.4375,28.8344,42.6378,36.7809,82.3911,100,45.6562,100,100,100,100,100,100,100,99.3351,100,100,100,0,NaN,86.458,85.3568,84.244,
2.67853,19.7018,82.3984,100,80.7625,45.9877,55.1,24.1261,80.2163,28.011,42.3577,36.2703,81.9036,100,44.7893,100,100,100,100,100,100,100,99.3278,100,100,100,0,NaN,85.865,84.7179,83.5524,
2.73433,19.4128,82.193,100,80.4418,45.8466,55.05,23.9665,80.0074,27.16,42.0863,35.7529,81.4363,100,44.0466,100,100,100,100,100,100,100,99.3257,100,100,100,0,NaN,85.2617,84.0675,82.8475,
2.79014,19.1331,81.9744,100,80.1445,45.7148,54.85,23.8069,79.8108,26.3387,41.8179,35.2499,81.1096,100,43.4422,100,100,100,100,100,100,100,99.3184,100,100,100,0,NaN,84.6612,83.4207,82.1462,
2.84594,18.8624,81.7674,100,79.8555,45.597,54.45,23.5576,79.5916,25.5034,41.5603,34.7472,80.8232,100,42.9566,100,100,100,100,100,100,100,99.3089,100,100,100,0,NaN,84.0456,82.7572,81.4286,
2.90174,18.5935,81.5341,100,79.5929,45.5075,53.925,23.1786,79.4216,24.6819,41.2892,34.2426,80.5116,100,42.5297,100,100,100,100,100,100,100,99.3005,100,100,100,0,NaN,83.4099,82.0722,80.6852,
2.95754,18.337,81.3271,100,79.3409,45.4113,53.25,22.8544,79.2537,23.8642,41.0439,33.7544,80.2302,100,42.1306,100,100,100,100,100,100,100,99.2911,100,100,100,0,NaN,82.7547,81.3654,79.9184,
3.01335,18.0875,81.1201,100,79.0733,45.3155,52.65,22.625,79.0673,23.0548,40.8009,33.2711,79.8181,100,41.7601,100,100,100,100,100,100,100,99.2848,100,100,100,0,NaN,82.0695,80.6273,79.1189,
3.06915,17.8491,80.9411,100,78.8062,45.2206,52.075,22.4655,78.9055,22.2515,40.5672,32.7957,79.3809,100,41.3957,100,100,100,100,100,100,100,99.2754,100,100,100,0,NaN,81.3781,79.8812,78.3112,
3.12495,17.6165,80.7583,100,78.5323,45.1218,51.65,22.2859,78.7581,21.4369,40.3312,32.3142,78.9638,100,41.0761,100,100,100,100,100,100,100,99.2638,100,100,100,0,NaN,80.6597,79.1064,77.4702,
3.18076,17.3904,80.575,100,78.261,45.0188,51.45,22.1413,78.5922,20.6182,40.0974,31.8322,78.4713,100,40.7334,100,100,100,100,100,100,100,99.2533,100,100,100,0,NaN,79.921,78.3102,76.605,
3.23656,17.1746,80.4118,100,78.0159,44.9116,51.35,21.9967,78.455,19.8262,39.8775,31.3695,77.9637,100,40.4022,100,100,100,100,100,100,100,99.245,100,100,100,0,NaN,79.1951,77.526,75.7541,
3.29236,16.9579,80.2243,100,77.7328,44.7883,51.2,21.892,78.3239,19.0423,39.6532,30.9078,77.4662,100,40.0841,100,100,100,100,100,100,100,99.2355,100,100,100,0,NaN,78.4473,76.7191,74.8779,
3.34816,16.7484,80.0399,100,77.4688,44.6658,50.95,21.8022,78.2092,18.2502,39.4285,30.4423,77.0692,100,39.7754,100,100,100,100,100,100,100,99.2313,100,100,100,0,NaN,77.7161,75.9296,74.0209,
3.40397,16.5478,79.8387,100,77.2109,44.5208,50.575,21.7524,78.07,17.497,39.2246,30.0053,76.6521,100,39.4758,100,100,100,100,100,100,100,99.2229,100,100,100,0,NaN,76.9979,75.1541,73.178,
3.45977,16.3468,79.626,100,76.9136,44.3661,49.925,21.7125,77.8938,16.738,39.024,29.5678,76.2199,100,39.1462,100,100,100,100,100,100,100,99.2135,100,100,100,0,NaN,76.2654,74.3637,72.3215,
3.51557,16.1546,79.4163,100,76.6401,44.2127,49.225,21.7075,77.687,15.9948,38.8286,29.1399,75.8681,100,38.8536,100,100,100,100,100,100,100,99.2061,100,100,100,0,NaN,75.5532,73.5961,71.4897,
3.57137,15.9634,79.2067,100,76.3519,44.0512,48.525,21.7075,77.4597,15.2576,38.6325,28.7143,75.446,100,38.5549,100,100,100,100,100,100,100,99.1988,100,100,100,0,NaN,74.8349,72.8226,70.6545,
3.62718,15.7768,78.9676,100,76.0866,43.8851,47.575,21.7075,77.2262,14.529,38.4461,28.2978,75.0239,100,38.2731,100,100,100,100,100,100,100,99.1904,100,100,100,0,NaN,74.1247,72.0568,69.8232,
3.68298,15.5879,78.7327,100,75.7994,43.7194,46.625,21.7075,76.9927,13.7487,38.2575,27.8581,74.5666,100,38.0137,100,100,100,100,100,100,100,99.1778,100,100,100,0,NaN,73.4056,71.2812,68.9862,
3.73878,15.4017,78.4946,100,75.5282,43.5668,45.55,21.7075,76.79,12.9982,38.0723,27.4331,74.0339,100,37.7343,100,100,100,100,100,100,100,99.1694,100,100,100,0,NaN,72.6863,70.5061,68.1465,
3.79459,15.2232,78.2555,100,75.2336,43.4053,44.475,21.7075,76.5729,12.3055,37.8949,27.037,73.5062,100,37.4595,100,100,100,100,100,100,100,99.1632,100,100,100,0,NaN,71.9645,69.7291,67.3077,
3.85039,15.0588,77.9843,100,74.9427,43.2595,43.4,21.7025,76.3701,11.6748,37.7183,26.6678,73.1494,100,37.2032,100,100,100,100,100,100,100,99.1558,100,100,100,0,NaN,71.2621,68.9721,66.4896,
3.90619,14.9073,77.7157,100,74.6797,43.1205,42.35,21.6975,76.2022,11.0904,37.5534,26.3248,72.8378,100,36.926,100,100,100,100,100,100,100,99.1474,100,100,100,0,NaN,70.5765,68.2336,65.6927,
